,E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038,E039,E040,E041,E042,E043,E044,E045,E046,E047,E048,E049,E050,E051,E052,E053,E054,E055,E056,E057,E058,E059,E060,E061,E062,E063,E064,E065,E066,E067,E068,E069,E070,E071,E072,E073,E074,E075,E076,E077,E078,E079,E080,E081,E082,E083,E084,E085,E086,E087,E088,E089,E090,E091,E092,E093,E094,E095,E096,E097,E098,E099,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127,E128,E129,E130,E131,E132,E133,E134,E135,E136,E137,E138,E139,E140,E141,E142,E143,E144,E145,E146,E147,E148,E149,E150,E151,E152,E153,E154,E155,E156,E157,E158,E159,E160,E161,E162,E163,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079
E001,0.0,1.271,1.246,1.194,1.69,2.055,0.76,2.04,1.64,1.147,1.484,1.19,3.28,3.578,2.815,3.08,2.987,1.79,3.205,2.438,2.987,1.955,1.826,1.81,2.258,15.383,2.493,3.175,3.248,1.972,1.996,3.002,1.727,1.157,1.001,1.169,1.075,1.734,1.766,0.909,0.531,0.675,1.288,1.506,1.158,0.697,0.573,0.738,1.591,1.676,0.911,0.802,0.448,0.761,0.78,0.799,0.861,0.258,0.699,0.74,2.684,1.924,3.089,1.656,2.072,1.907,2.854,2.316,2.162,1.914,2.422,1.829,1.985,2.407,1.889,2.067,1.657,3.097,2.462,2.15,2.858,2.88,3.246,2.169,2.591,3.043,3.05,2.264,2.15,2.078,2.713,2.748,2.393,2.3,2.165,2.306,1.717,1.564,2.42,2.172,2.484,4.006,3.287,3.757,1.813,2.984,2.829,5.052,1.878,1.086,1.722,2.166,2.691,2.763,304.552,1.01,1.935,238.123,4.465,21.767,3.492,3.242,3.151,57.119,3.136,3.09,3.074,3.283,4.348,4.087,8.673,4.277,4.261,4.405,3.431,5.085,5.073,3.227,5.133,2.499,2.946,4.036,3.648,4.931,5.409,2.578,8.549,8.189,9.507,0.931,7.739,7.634,10.033,8.172,8.189,6.405,9.035,7.678,6.976,7.437,7.069,7.159,7.449,1.283,0.303,2.175,2.443,0.872,0.423,6.382,3.809,3.66,7.186,14.661,1.73,7.203,10.403,25.361,12.976,2.37,13.25,2.699,3.829,3.345,2.37,12.465,3.029,5.622,4.314,6.032,2.886,10.17,11.629,5.083,4.657,3.201,3.006,5.509,9.009,12.482,9.018,4.131,4.451,4.684,6.608,6.612,5.631,3.892,3.369,3.065,5.167,2.806,5.133,10.078,11.026,7.8,7.198,9.483,10.775,7.57,12.22,6.115,18.933,15.391,17.042,16.486,22.886,33.806,33.908,13.179,21.566,13.371,21.726,51.457,41.446,2.204,28.175,28.624,20.425,27.156,11.301,27.91
E002,1.195,0.0,0.737,0.412,0.631,1.546,0.435,0.834,0.681,0.758,0.975,0.291,2.771,3.069,2.306,2.571,2.479,1.281,2.696,1.929,2.479,1.446,1.177,1.301,1.749,14.875,1.984,2.667,2.74,1.463,1.487,2.493,1.218,1.137,1.579,2.682,1.653,1.923,1.58,1.756,1.931,1.788,0.946,0.675,1.47,1.765,1.89,1.368,0.945,1.03,1.218,1.304,2.014,1.702,1.683,1.663,1.634,0.937,0.497,1.722,1.346,0.718,1.884,1.147,1.309,1.399,1.649,1.11,0.884,1.151,1.784,1.066,0.78,1.769,0.683,1.304,1.148,1.891,1.256,0.944,1.652,1.542,1.908,0.831,1.253,1.705,1.712,0.926,0.944,0.74,1.507,1.41,2.465,2.372,0.827,1.826,1.979,1.449,1.081,0.834,2.556,4.195,3.476,3.946,2.002,3.056,3.018,5.403,3.11,1.664,2.954,3.398,2.88,3.995,304.043,1.588,3.156,237.615,4.757,21.642,3.843,3.592,3.502,57.308,3.487,3.441,3.424,3.633,4.223,3.962,8.548,4.634,4.245,4.28,3.782,4.959,4.564,2.718,4.625,1.99,2.437,3.527,3.139,4.422,4.9,2.069,8.04,7.68,8.998,1.243,7.23,7.125,9.524,7.664,7.68,5.896,8.526,7.169,6.85,7.311,6.944,7.034,7.324,0.895,0.892,1.666,1.934,1.278,0.809,5.873,3.301,3.151,6.677,14.152,1.222,6.695,9.895,24.852,12.467,1.732,12.741,1.493,2.623,2.255,1.732,11.956,1.823,4.417,3.108,4.826,1.548,8.964,11.121,3.877,3.451,1.996,1.668,5.698,9.198,12.671,7.812,5.364,5.684,5.917,6.482,6.487,5.506,3.383,2.861,2.556,4.658,2.297,4.625,9.569,10.518,7.291,6.689,8.974,10.267,7.061,11.711,5.989,17.727,14.185,15.836,15.281,21.68,33.681,33.782,13.368,21.755,13.561,21.217,50.948,40.937,0.866,26.969,27.418,19.219,26.647,10.095,27.401
E003,1.236,1.062,0.0,0.939,0.43,0.795,0.962,0.78,0.38,0.479,0.696,0.522,2.492,2.791,2.027,2.293,2.2,1.002,2.417,1.65,2.2,1.168,1.038,1.022,1.47,14.596,1.705,2.388,2.461,1.184,1.208,2.214,0.939,1.657,2.071,2.403,2.145,2.443,1.744,1.477,1.652,1.509,1.466,1.195,1.191,1.486,1.611,1.887,1.472,1.557,1.738,1.823,1.735,1.423,1.404,1.384,1.355,0.978,1.024,1.443,1.424,0.664,1.829,0.868,1.229,1.12,1.594,1.056,0.83,1.071,1.73,0.986,0.726,1.714,0.629,1.387,0.869,1.837,1.202,0.89,1.598,1.62,1.986,0.909,1.331,1.783,1.79,1.004,0.89,0.818,1.453,1.488,3.102,2.45,0.905,1.904,2.143,1.613,1.16,0.912,2.634,4.715,3.996,4.466,2.522,3.134,3.538,5.124,2.832,2.156,2.675,3.12,3.4,3.717,303.764,2.08,2.877,237.336,4.478,21.363,3.564,3.314,3.223,57.828,3.208,3.162,3.146,3.355,3.944,3.683,8.269,4.355,3.966,4.001,3.503,4.681,4.285,2.439,4.346,1.712,2.158,3.248,2.861,4.143,4.621,1.79,7.761,7.402,8.72,0.964,6.951,6.846,9.245,7.385,7.402,5.617,8.248,6.89,6.572,7.033,6.665,6.755,7.045,0.616,0.933,1.387,1.655,2.08,0.85,5.594,3.022,2.872,6.399,13.873,0.943,6.416,9.616,24.573,12.188,1.678,12.462,1.439,2.569,2.201,1.678,11.678,1.769,4.362,3.054,4.772,1.626,8.91,10.842,3.823,3.397,1.941,1.746,6.218,9.718,13.191,7.758,5.085,5.405,5.638,6.204,6.208,5.227,3.104,2.582,2.277,4.38,2.018,4.346,9.29,10.239,7.013,6.41,8.695,9.988,6.782,11.432,5.711,17.673,14.131,15.782,15.226,21.626,33.403,33.504,13.888,22.274,14.08,20.938,50.669,40.658,0.944,26.915,27.364,19.165,26.369,10.041,27.122
E004,1.278,0.317,0.82,0.0,0.915,0.577,0.517,1.118,0.965,0.84,1.058,0.374,2.854,3.152,2.389,2.654,2.561,1.364,2.779,2.011,2.561,1.529,1.46,1.384,1.831,14.957,2.067,2.749,2.822,1.545,1.569,2.576,1.3,0.726,1.517,1.685,1.591,1.511,1.1,1.426,1.162,1.255,0.534,0.263,1.552,1.277,1.153,0.956,1.027,1.112,0.807,0.892,1.245,1.341,1.36,1.379,1.441,1.02,0.579,1.321,1.63,1.002,2.167,1.23,1.592,1.481,1.932,1.394,1.167,1.435,2.068,1.349,1.063,2.052,0.967,1.587,1.23,2.175,1.54,1.228,1.936,1.825,2.192,1.114,1.537,1.989,1.996,1.209,1.228,1.023,1.791,1.694,2.171,2.078,1.111,2.083,1.495,0.969,1.365,0.562,2.261,3.784,3.064,3.534,1.59,2.761,2.607,5.486,2.716,1.603,2.238,2.683,2.468,3.28,304.126,1.527,2.452,237.697,4.839,21.725,3.925,3.675,3.584,56.897,3.57,3.524,3.507,3.716,4.305,4.044,8.631,4.716,4.328,4.362,3.865,5.042,4.646,2.8,4.707,2.073,2.52,3.609,3.222,4.505,4.983,2.151,8.123,7.763,9.081,1.326,7.312,7.207,9.606,7.746,7.763,5.979,8.609,7.252,6.933,7.394,7.026,7.116,7.406,0.977,0.975,1.749,2.017,1.149,0.891,5.955,3.383,3.233,6.76,14.234,1.304,6.777,9.977,24.934,12.55,2.016,12.824,1.777,2.907,2.539,2.016,12.039,2.107,4.7,3.392,5.109,1.831,9.248,11.203,4.161,3.735,2.279,1.952,5.286,8.786,12.26,8.096,4.648,4.968,5.201,6.565,6.569,5.588,3.466,2.943,2.639,4.741,2.38,4.707,9.651,10.6,7.374,6.772,9.057,10.349,7.144,11.793,6.072,18.011,14.468,16.12,15.564,21.964,33.764,33.865,12.957,21.343,13.149,21.299,51.031,41.02,0.725,27.253,27.701,19.503,26.73,10.379,27.483
E005,1.681,0.632,0.43,0.673,0.0,0.365,0.923,0.35,0.05,0.923,0.878,0.966,2.808,3.235,2.343,2.737,2.644,0.839,2.862,2.094,2.644,1.483,0.546,1.338,1.786,15.158,2.02,2.832,2.905,0.722,1.523,2.659,1.254,1.227,2.018,2.187,2.092,2.012,1.314,1.921,1.663,1.756,1.035,0.764,1.635,1.778,1.654,1.457,1.433,1.518,1.308,1.393,1.746,1.867,1.848,1.829,1.799,1.423,0.985,1.822,0.994,0.234,1.399,0.537,0.678,0.956,1.164,0.625,0.768,0.52,1.154,0.435,0.295,1.138,0.199,0.673,0.795,1.407,0.772,0.46,1.168,1.189,1.556,0.478,0.901,1.353,1.36,0.574,0.46,0.387,1.022,1.058,2.672,2.02,0.475,1.474,1.713,1.183,0.729,0.482,2.203,4.285,3.565,4.035,2.091,2.703,3.108,5.569,3.276,2.104,3.119,3.564,2.969,4.161,304.327,2.028,2.953,237.898,5.04,21.808,4.008,3.758,3.667,57.398,3.652,3.607,3.59,3.799,4.388,4.127,8.714,4.917,4.411,4.445,3.948,5.125,4.847,2.883,4.908,2.156,2.603,3.81,3.423,4.706,5.184,2.234,8.324,7.964,9.282,1.409,7.514,7.409,9.807,7.947,7.964,6.18,8.81,7.453,7.016,7.477,7.109,7.199,7.489,1.06,1.377,1.832,2.099,1.65,1.294,6.038,3.466,3.316,6.843,14.435,1.143,6.35,10.817,25.135,13.39,1.101,13.664,1.008,2.139,1.771,1.101,12.122,1.339,3.932,2.624,4.341,1.196,8.48,11.404,3.393,2.967,1.511,1.316,5.787,9.287,12.761,7.328,5.529,5.849,6.082,6.648,6.652,5.671,3.549,3.026,2.722,4.942,2.581,4.908,9.852,10.801,7.575,6.973,9.258,10.55,7.345,11.994,6.155,17.242,13.7,15.352,14.796,21.195,33.847,33.948,13.458,21.844,13.65,21.5,51.232,41.221,0.514,26.485,26.933,18.735,26.931,9.611,27.685
E006,2.045,0.941,0.795,0.335,0.364,0.0,1.771,0.567,0.415,1.288,1.243,1.331,3.172,3.599,2.707,3.101,3.009,1.203,3.226,2.459,3.009,1.847,0.91,1.702,2.15,15.523,2.385,3.197,3.27,1.086,1.888,3.023,1.619,0.889,1.68,1.849,1.754,1.674,0.976,1.589,1.325,1.418,0.697,0.426,1.736,1.44,1.316,1.119,2.281,2.366,0.97,1.055,1.408,1.504,1.523,1.542,1.604,1.787,1.833,1.484,1.08,0.452,1.617,0.901,1.042,1.321,1.382,0.843,0.617,0.885,1.518,0.799,0.513,1.502,0.417,1.037,1.159,1.625,0.99,0.678,1.386,1.275,1.641,0.564,0.987,1.438,1.446,0.659,0.678,0.473,1.24,1.144,2.334,2.241,0.56,1.559,1.375,0.845,0.815,0.437,2.424,3.946,3.227,3.697,1.753,2.924,2.77,5.933,2.879,1.766,2.401,2.846,2.631,3.443,304.691,1.69,2.615,238.263,5.405,22.172,4.373,4.122,4.032,57.06,4.017,3.971,3.954,4.163,4.753,4.492,9.078,5.282,4.775,4.81,4.312,5.489,5.212,3.248,5.273,2.521,2.967,4.175,3.788,5.07,5.548,2.599,8.688,8.329,9.647,1.773,7.878,7.773,10.172,8.312,8.329,6.544,9.175,7.817,7.38,7.841,7.473,7.564,7.854,1.425,1.742,2.196,2.464,1.312,1.659,6.403,3.83,3.681,7.207,14.8,1.507,6.568,11.035,25.5,13.608,1.465,13.882,1.226,2.357,1.989,1.465,12.486,1.557,4.15,2.841,4.559,1.281,8.698,11.769,3.61,3.184,1.729,1.401,5.449,8.95,12.423,7.545,4.811,5.131,5.364,7.012,7.016,6.036,3.913,3.391,3.086,5.306,2.945,5.273,10.217,11.166,7.939,7.338,9.623,10.915,7.709,12.359,6.519,17.46,13.918,15.57,15.014,21.413,34.211,34.312,13.12,21.506,13.312,21.865,51.596,41.585,0.6,26.702,27.151,18.953,27.295,9.829,28.049
E007,0.76,0.51,0.858,0.434,1.302,1.011,0.0,1.202,1.252,0.758,1.096,0.567,2.892,3.19,2.427,2.692,2.599,1.402,2.817,2.05,2.599,1.567,1.438,1.422,1.87,14.995,2.105,2.788,2.86,1.584,1.607,2.614,1.339,1.16,1.465,2.282,1.539,1.945,1.534,1.395,1.11,1.427,0.968,0.697,1.109,1.404,1.529,1.03,0.831,0.916,1.241,1.094,1.193,1.341,1.322,1.302,1.273,0.502,0.062,1.361,1.714,1.086,2.251,1.268,1.684,1.519,2.016,1.477,1.251,1.526,2.034,1.441,1.147,2.019,1.051,1.679,1.269,2.259,1.624,1.312,2.02,1.909,2.275,1.198,1.621,2.072,2.08,1.293,1.312,1.107,1.874,1.778,2.605,2.511,1.194,2.193,1.929,1.403,1.449,0.996,2.695,4.217,3.498,3.968,2.024,3.195,3.041,5.003,2.711,1.55,2.554,2.998,2.902,3.595,304.164,1.474,2.756,237.735,4.416,21.718,3.443,3.192,3.102,57.33,3.087,3.041,3.024,3.233,4.299,4.038,8.624,4.228,4.212,4.356,3.382,5.035,4.685,2.838,4.745,2.111,2.558,3.648,3.26,4.543,5.021,2.189,8.161,7.801,9.119,0.882,7.351,7.246,9.645,7.785,7.801,6.017,8.647,7.29,6.927,7.388,7.02,7.11,7.4,0.895,0.457,1.787,2.055,1.164,0.374,5.994,3.421,3.272,6.798,14.273,1.343,6.815,10.015,24.973,12.588,1.982,12.862,1.86,2.991,2.623,1.982,12.077,2.191,4.784,3.476,5.193,1.915,9.332,11.241,4.244,3.819,2.363,2.035,5.72,9.22,12.694,8.18,4.963,5.284,5.517,6.559,6.563,5.582,3.504,2.982,2.677,4.779,2.418,4.745,9.69,10.638,7.412,6.81,9.095,10.387,7.182,11.832,6.066,18.094,14.552,16.204,15.648,22.047,33.758,33.859,13.39,21.777,13.583,21.338,51.069,41.058,1.158,27.337,27.785,19.587,26.768,10.463,27.522
E008,2.03,0.834,0.779,0.875,0.349,0.567,1.126,0.0,0.4,1.272,1.228,1.315,3.264,3.809,2.799,3.311,3.218,1.294,3.436,2.668,3.218,1.939,0.895,1.794,2.241,15.614,2.476,3.406,3.479,1.177,1.979,3.233,1.71,1.429,2.221,2.389,2.295,2.215,1.516,2.13,1.866,1.958,1.238,0.967,1.984,1.981,1.856,1.66,1.636,1.721,1.51,1.595,1.949,2.045,2.063,2.083,2.148,1.772,1.188,2.024,1.197,0.206,1.371,0.886,0.14,1.412,1.136,0.598,0.05,0.297,1.272,0.383,0.267,1.256,0.151,0.258,1.144,1.379,0.744,0.432,1.14,1.384,1.758,0.681,1.103,1.555,1.562,0.776,0.432,0.59,0.995,1.261,2.874,2.222,0.677,1.676,1.915,1.385,0.932,0.684,2.406,4.487,3.768,4.238,2.294,2.906,3.31,5.918,3.42,2.306,2.942,3.386,3.172,3.983,304.783,2.23,3.155,238.354,5.496,22.157,4.357,4.107,4.016,57.6,4.002,3.956,3.939,4.148,4.737,4.476,9.063,5.373,4.76,4.795,4.297,5.474,5.303,3.232,5.364,2.505,2.952,4.266,3.879,5.162,5.64,2.583,8.78,8.42,9.738,1.758,7.97,7.864,10.263,8.403,8.42,6.636,9.266,7.909,7.365,7.826,7.458,7.548,7.838,1.409,1.726,2.181,2.449,1.852,1.643,6.612,4.04,3.89,7.417,14.891,1.599,6.322,10.789,25.591,13.362,1.22,13.636,0.981,2.111,1.743,1.22,12.696,1.311,3.904,2.596,4.314,1.398,8.452,11.86,3.365,2.939,1.483,1.518,5.99,9.49,12.963,7.3,5.351,5.671,5.904,6.997,7.001,6.02,3.898,3.375,3.071,5.398,3.037,5.364,10.308,11.257,8.031,7.429,9.714,11.006,7.801,12.45,6.504,17.215,13.672,15.324,14.768,21.168,34.196,34.297,13.66,22.047,13.852,21.956,51.688,41.677,0.716,26.457,26.905,18.707,27.387,9.583,28.14
E009,1.63,0.682,0.38,0.723,0.05,0.415,0.974,0.4,0.0,0.873,0.828,0.916,2.757,3.184,2.292,2.687,2.594,0.788,2.811,2.044,2.594,1.433,0.495,1.287,1.735,15.108,1.97,2.782,2.855,0.671,1.473,2.608,1.204,1.277,2.069,2.237,2.143,2.063,1.364,1.871,1.714,1.806,1.086,0.815,1.585,1.829,1.704,1.508,1.484,1.569,1.358,1.443,1.797,1.817,1.798,1.778,1.749,1.372,1.035,1.837,1.044,0.284,1.449,0.486,0.627,0.906,1.214,0.676,0.717,0.47,1.103,0.384,0.345,1.087,0.249,0.622,0.744,1.457,0.822,0.51,1.218,1.24,1.606,0.529,0.951,1.403,1.41,0.624,0.51,0.438,1.073,1.109,2.722,2.07,0.525,1.524,1.763,1.233,0.78,0.532,2.254,4.335,3.616,4.086,2.142,2.754,3.158,5.518,3.225,2.154,3.069,3.513,3.02,4.111,304.276,2.078,3.271,237.848,4.99,21.757,3.958,3.708,3.617,57.448,3.602,3.556,3.539,3.748,4.338,4.077,8.663,4.867,4.36,4.395,3.897,5.074,4.797,2.833,4.858,2.106,2.552,3.76,3.373,4.655,5.133,2.184,8.274,7.914,9.232,1.358,7.463,7.358,9.757,7.897,7.914,6.129,8.76,7.402,6.965,7.426,7.059,7.149,7.439,1.01,1.327,1.781,2.049,1.7,1.244,5.988,3.416,3.266,6.792,14.385,1.092,6.4,10.867,25.085,13.44,1.051,13.714,1.059,2.189,1.821,1.051,12.071,1.389,3.982,2.674,4.392,1.246,8.53,11.354,3.443,3.017,1.561,1.366,5.838,9.338,12.811,7.378,5.479,5.799,6.032,6.597,6.602,5.621,3.498,2.976,2.671,4.892,2.53,4.858,9.802,10.751,7.525,6.923,9.208,10.5,7.295,11.944,6.105,17.293,13.751,15.402,14.847,21.246,33.796,33.898,13.508,21.895,13.7,21.45,51.181,41.17,0.564,26.535,26.984,18.785,26.881,9.661,27.634
E010,1.22,0.879,0.442,0.802,0.886,1.251,0.826,1.236,0.836,0.0,0.68,0.385,2.476,2.774,2.011,2.276,2.183,0.986,2.401,1.633,2.183,1.151,1.022,1.006,1.454,14.579,1.689,2.371,2.444,1.167,1.191,2.198,0.922,2.113,2.054,2.387,2.128,2.899,2.2,1.461,1.635,1.492,1.921,1.651,1.174,1.47,1.594,1.791,1.336,1.421,2.194,2.279,1.719,1.406,1.387,1.368,1.339,0.962,0.887,1.427,1.88,1.12,2.285,0.852,1.268,1.103,2.05,1.512,1.358,1.11,1.618,1.025,1.181,1.603,1.085,1.263,0.853,2.293,1.658,1.346,2.054,2.076,2.442,1.365,1.787,2.239,2.246,1.46,1.346,1.274,1.909,1.944,3.558,2.906,1.361,2.36,2.599,2.069,1.615,1.368,3.09,5.171,4.452,4.922,2.978,3.59,3.994,5.108,2.815,2.14,2.659,3.103,3.856,3.7,303.748,2.064,2.86,237.319,4.462,21.347,3.548,3.297,3.206,58.284,3.192,3.146,3.129,3.338,3.928,3.666,8.253,4.338,3.95,3.985,3.487,4.664,4.269,2.422,4.329,1.695,2.142,3.232,2.844,4.127,4.605,1.773,7.745,7.385,8.703,0.948,6.935,6.83,9.228,7.368,7.385,5.601,8.231,6.874,6.555,7.016,6.648,6.738,7.028,0.137,0.917,1.371,1.639,1.926,0.833,5.577,3.005,2.856,6.382,13.857,0.926,6.399,9.599,24.556,12.172,1.566,12.446,1.895,3.025,2.541,1.566,11.661,2.225,4.818,3.51,5.228,2.082,9.366,10.825,4.279,3.853,2.397,2.202,6.673,10.174,13.647,8.214,5.068,5.388,5.621,6.187,6.191,5.21,3.088,2.565,2.261,4.363,2.002,4.329,9.274,10.222,6.996,6.394,8.679,9.971,6.766,11.415,5.694,18.129,14.586,16.238,15.682,22.082,33.386,33.487,14.344,22.73,14.536,20.922,50.653,40.642,1.4,27.371,27.82,19.621,26.352,10.497,27.106
